"brain, specifically Basolateral Amygdala (BLA)","brain"
"brain, specifically the Medial Habenula","brain"
"brain, specifically the prefrontal cortex","brain"
"brain, supratentorial","brain"
"brain, svz+caudate","brain"
"brain, temporal lobe","brain"
"brain-PVT area","brain"
"brain; PFC (Prefrontal Cortex)","brain"
"brain; PFC (prefrontal cortex)","brain"
"brain; prefrontal cortex","brain"
"brainstem","brain"
"breast (normal mammary gland)","breast"
"breast TNBC","breast"
"breast cancer cell line (TAMR)","breast"
"breast cancer cell lines (MDA-MB-361 and MDA-MB-231)","breast"
"breast cancer organoids","breast"
"breast tumour","breast"
"bronchial","respiratory system"
"bronchial AEC (Airway Epithelial Cells)","respiratory system"
"bronchoalveolar lavage cells","respiratory system"
"bronchoalveolar lavage fluid (BALF)","respiratory system"
"bronchus","respiratory system"
"bronchus, lung","respiratory system"
"buccal","digestive system"
"buffy coat","blood"
"bulk pancreatic tumor","pancreas"
"buttock","skin of body"
"caecum, colon","large intestine"
"caecum, mesenteric lymph nodes","large intestine"
"calvaria","skeletal system"
"calvaria/skull base","skeletal system"
"cancerous tissues (colorectal cancer)","colon"
"capsule tissue","other"
"cardiac cells, whole heart","heart"
"cardiac fibroblasts (hiPSC-derived)","heart"
"cardiomyocytes","heart"
"cardiomyocytes (hiPSC-CM)","heart"
"cardiovascular tissue (left ventricle)","heart"
"cartilage endplate","skeletal system"
"caudal tissues","other"
"caudal tissues from E8.5 embryos","embryo"
"caudate putamen","brain"
"ccRCC tumor","kidney"
"cecal contents","large intestine"
"cell","other"
"cell line (H9-derived)","other"
"cell line (Ovsaho)","ovary"
"cells (PDX-GIC-sample)","other"
"central gray substance of midbrain","brain"
"central gray substance of midbrain (periaqueductal gray area)","brain"
"central gray substance of midbrain (periaqueductal gray neurons)","brain"
"central gray substance of midbrain (periaqueductal gray)","brain"
"cephalic vein","vasculature"
"cerebellar brain organoid","brain"
"cerebellar tumor tissue","brain"
"cerebellar tumors","brain"
"cerebellum, brainstem, cervical spinal cord (C1-C2)","central nervous system"
"cerebral aneurysms and immune cells","brain"
"cerebral cortex and hippocampal tissues","brain"
"cerebral hemisphere","brain"
"cerebrum","brain"
"cervical epidermis","skin of body"
"cervicovaginal","reproductive system"
"cervicovaginal fluid","reproductive system"
"cervix uteri","uterus"
"chicken trachea","respiratory system"
"chondrocyte","skeletal system"
"choroid plexus (fresh frozen)","brain"
"choroid plexus brain organoids","brain"
"choroid plexus endothelial cells","brain"
"circulating NK cells","immune system"
"circulating tumor cells","blood"
"circulating tumor cells (CTCs)","blood"
"circulating tumor cells from melanoma patients","blood"
"clear cell renal cell carcinoma","kidney"
"clivus (skull base)","skeletal system"
"cochlear nucleus","brain"
"colon (caecum)","colon"
"colon and esophageal tumors","digestive system"
"colon and mesenteric lymph node","colon"
"colon and mesenteric lymph nodes","colon"
"colon tissue","colon"
"colon, bone marrow","colon"
"colon, mesenteric lymph node","colon"
"colorectal adenocarcinoma","colon"
"colorectal adenocarcinoma cell line","colon"
"colorectal adenocarcinoma cell line (Caco-2)","colon"
"colorectal cancer biopsy","colon"
"colorectal cancer tumor","colon"
"colorectal liver metastasis","colon"
"colorectal polyps","colon"
"colorectal primary tumor","colon"
"colorectal tumors (HT-29)","colon"
"combined proximal, distal, and whole lung organoid","lung"
"common bile duct, gall bladder, liver biopsies","liver"
"cornea (left eye)","eye"
"coronal brain section","brain"
"coronal suture","skeletal system"
"corpus GINS organoids derived from human corpus stomach","stomach"
"corpus and antrum gastric units","stomach"
"corpus cavernosum","reproductive system"
"corpus gastric units","stomach"
"corpus striatum","brain"
"cortex (P56)","brain"
"cortex and corpus callosum","brain"
"cortex and hippocampal formation","brain"
"cortical brain tissue","brain"
"cortical cells","brain"
"corticotroph tumor","endocrine gland"
"cotyledon","placenta"
"cultured ESC-derived cells","embryo"
"cultured Müller glia from adult mouse retina","eye"
"cultured cell","other"
"cultured cells on biomaterials","other"
"cultured neurons","brain"
"cultured olfactory ensheathing cells","sensory system"
"cultured primary cells","other"
"cutaneous neurofibroma","skin of body"
"dLGN (dorsal lateral geniculate nucleus)","brain"
"dLN (draining lymph node)","lymph node"
"dLN (draining lymph nodes)","lymph node"
"decidual tissues","uterus"
"dendritic cell","immune system"
"dendritic cells from duodenal lymph nodes","lymph node"
"dendritic lymph nodes","lymph node"
"dental follicle","other"
"dental follicle tissue","other"
"dental follicle tissue (derived organoids)","other"
"dental pulp cells","other"
"derived definitive endoderm","embryo"
"dermal fibroblasts (skin)","skin of body"
"dermal fibroblasts and blood leukocyte subsets","other"
"dermal fibroblasts, fetal blood cells","other"
"dermis (skin)","skin of body"
"developing human limb and cranium","embryo"
"developing human limb and cranium tissue","embryo"
"developing human limb and cranium tissue, specific organ part: hip","embryo"
"developing limb and cranium","embryo"
"diseased tissues","other"
"dissociated colorectal cancer tumor","colon"
"dissociated lung","lung"
"distal lung organoid","lung"
"dorsal lateral geniculate nucleus","brain"
"dorsal root ganglion neuron","peripheral nervous system"
"dorsal vagal complex","brain"
"draining lymph node (dLN)","lymph node"
"draining lymph nodes (dLN)","lymph node"
"duodenal gut-draining lymph nodes","lymph node"
"duodenal lymph node","lymph node"
"duodenal lymph nodes","lymph node"
"ears and lungs","other"
"ectopic tissue masses","other"
"embryo (E5.5 and E6.25)","embryo"
"embryo model, 2.5 days after tissue assembly","embryo"
"embryonic (whole organism)","embryo"
"embryonic cortical cells at E16","embryo"
"embryonic day 6.5","embryo"
"embryonic disc","embryo"
"embryonic forelimb segment of the distal zeugopod and autopod","embryo"
"embryonic stem","embryo"
"embryonic stem (ES)","embryo"
"embryonic stem cell","embryo"
"embryonic stem cells (hESC)","embryo"
"embryonic structure","embryo"
"embryonic structure (compacted morula)","embryo"
"embryonic structure, 8-cell stage","embryo"
"embryonic structure, compacted morula","embryo"
"embryonic structure, compacted morula stage","embryo"
"embryonic whole organism","embryo"
"embryos (epiblast cells)","embryo"
"embryos (extra-embryonic ectoderm and epiblast cells)","embryo"
"embryos (extra-embryonic ectoderm removed to enrich for epiblast cells)","embryo"
"empty well","other"
"endocervical tissue","uterus"
"endogenous breast tumors","breast"
"endometrial tissue","uterus"
"endometriosis lesions","uterus"
"endometrium biopsy","uterus"
"endothelial cells plus melanoma cell line","other"
"enriched subdural meninges","brain"
"enteric neural crest cells","intestine"
"epiblast","embryo"
"epiblast and amnion spheroids","embryo"
"epiblast cells","embryo"
"epiblast cells from early mouse embryos","embryo"
"epiblast cells from embryos","embryo"
"epiblast cells from mouse embryos","embryo"
"epiblast stem cells, definitive endoderm","embryo"
"epicardium","heart"
"epidermis and dermis","skin of body"
"epididymal adipose tissue (eWAT)","adipose tissue"
"epididymal initial segment","reproductive system"
"epididymis","reproductive system"
"epididymis cauda","reproductive system"
"epiglottis","respiratory system"
"epithelial tracheal, cultured","respiratory system"
"erythrocyte matrigel plugs","blood"
"esophageal adenocarcinoma","esophagus"
"esophageal organoid","esophagus"
"esophagus (organoid)","esophagus"
"ethmoid mucosal tissues","mucosa"
"exocrine pancreas","pancreas"
"extra-embryonic ectoderm","embryo"
"extra-embryonic ectoderm (ExE)","embryo"
"extra-embryonic ectoderm and embryonic tissues","embryo"
"extra-embryonic ectoderm and epiblast","embryo"
"extra-embryonic ectoderm and epiblast cells","embryo"
"extraembryonic ectoderm","embryo"
"extraembryonic ectoderm and epiblast cells","embryo"
"extraembryonic endoderm and visceral endoderm","embryo"
"extraembryonic mesoderm","embryo"
"eye (optic choroid)","eye"
"eye ball, corneal cells","eye"
"facial nerve","peripheral nervous system"
"faeces","digestive system"
"feces","digestive system"
"female brain section containing the medial hypothalamus","brain"
"female breast normal tissue","breast"
"female breast tumor tissue","breast"
"femur bone marrow","bone marrow"
"femur growth plate","skeletal system"
"fetal arm tissue","forelimb"
"fetal brain (dorsolateral region)","brain"
"fetal brain and placenta","embryo"
"fetal brain, Lateral Ganglionic Eminence (LGE)","brain"
"fetal brain, Medial Frontal Cortex","brain"
"fetal brain, frontal region","brain"
"fetal brain, occipital, E77, WT, female","brain"
"fetal brain, placenta","embryo"
"fetal brain, ventral frontal cortex","brain"
"fetal colon","colon"
"fetal eye, except retina","eye"
"fetal leg tissue","hindlimb"
"fetal placenta","placenta"
"fetal skin","skin of body"
"fetal small intestine","small intestine"
"fetal-gonad","reproductive system"
"fibroblast","other"
"fibroblasts (WI-38)","other"
"first mandibular molar","other"
"flank tumor (subcutaneous)","skin of body"
"footpad granuloma","skin of body"
"forebrain organoid","brain"
"foreskin fibroblasts","skin of body"
"formalin-fixed paraffin-embedded hepatoblastoma","liver"
"fovea retina","eye"
"fresh lung","lung"
"fresh tumor tissue from G3/G4 medulloblastoma patients","brain"
"frontal lobe","brain"
"frozen postmortem brain","brain"
"gall bladder","gallbladder"
"gall bladder, bile duct, liver","digestive system"
"gastric (corpus)","stomach"
"gastric cancer","stomach"
"gastric corpus","stomach"
"gastric intestinal metaplasia","stomach"
"gastric organoids","stomach"
"gastrointestinal stromal tumors","digestive system"
"gastrointestinal tract","digestive system"
"genetically matched pairs deficient or proficient in XPA","other"
"genomic DNA","other"
"germinal center B cells","immune system"
"germinal matrix","brain"
"gingiva (palatal gingiva)","mucosa"
"glioblastoma center","brain"
"glioblastoma organoid","brain"
"glioblastoma tumor core","brain"
"glioblastoma tumor peripheral tissue","brain"
"glioma cells","brain"
"glioma cells from patient-derived neurospheres","brain"
"glioma neurospheres","brain"
"glioma neurospheres (TS543)","brain"
"glioma resection","brain"
"glioma surgical biopsy","brain"
"glioma surgical specimen","brain"
"glioma, leading edge","brain"
"gliomas","brain"
"globose basal cells (GBC)","nose"
"gonadal tissue","reproductive system"
"gut lamina propria","lamina propria"
"gut-associated lymph nodes","lymph node"
"hCA3 neurons from huES6 derived NPCs","brain"
"hESC aggregate","embryo"
"hESC aggregates","embryo"
"hESC-derived mature sympathoadrenal progenitors","peripheral nervous system"
"hESC-derived sympathoadrenal progenitors","peripheral nervous system"
"hESC-derived xEM cells","embryo"
"hPS-derived cerebellar organoids","brain"
"hair follicle stem cells","skin of body"
"head/ear","head"
"healthy memory unswitched B-cell","immune system"
"healthy naïve B-cell","immune system"
"heart apex nuclei","heart"
"heart biopsies","heart"
"heart left ventricle","heart"
"heart right ventricle","heart"
"heart tissue (atrioventricular junction)","heart"
"heart, atrioventricular node, left cardiac atrium","heart"
"heart, left ventricle, non-myocytes","heart"
"heart, muscle","heart"
"heart, specifically the right ventricle","heart"
"hematopoietic cell from IPSC","blood"
"hematopoietic progenitor cells","bone marrow"
"hepatoblastoma sample 35","liver"
"hiPSC (induced pluripotent stem cells)","other"
"hiPSC derived cardiac fibroblasts","heart"
"hiPSC sensory neurons","peripheral nervous system"
"hiPSC-BV-integrated liver organoids (BVLO)","liver"
"hiPSC-derived","other"
"hiPSC-derived neurons","brain"
"hiPSC-derived-hCS","brain"
"hiPSC-derived-hSS","brain"
"high grade IPMN","pancreas"
"high grade IPMN with co-occurring PDAC","pancreas"
"high grade glioma","brain"
"high grade glioma tissue","brain"
"hilar lymph node","lymph node"
"hindbrain neuroepithelial stem cell","brain"
"hindlimb epiphyses","hindlimb"
"hip","skeletal system"
"hip joint","skeletal system"
"hippocampal and cortical tissue","brain"
"hippocampal intermediate progenitors","brain"
"hippocampal intermediate progenitors (Day 2)","brain"
"hippocampal intermediate progenitors (Day 3)","brain"
"hippocampal neurons","brain"
"hippocampal slices","brain"
"hippocampus (anterior)","brain"
"hippocampus - medial y","brain"
"hippocampus brain","brain"
"human ES cell line","embryo"
"human airway epithelial cells (HBEC2)","respiratory system"
"human brain organoid","brain"
"human cerebral organoids","brain"
"human cortical organoids","brain"
"human engineered heart muscle","heart"
"human epithelial tracheal, cultured","respiratory system"
"human foreskin fibroblasts","skin of body"
"human islet cells","pancreas"
"human islets","pancreas"
"human prostate basal epithelia","prostate gland"
"human tumor tissue","other"
"human umbilical vein endothelial cells (HUVEC)","vasculature"
"human umbilical vein endothelial cells (HUVECs)","vasculature"
"humeral head - supraspinatus tendon (enthesis)","skeletal system"
"hypopharynx","respiratory system"
"hypothalamic nuclei","brain"
"hypothalamic preoptic area","brain"
"hypothalamic preoptic area of the brain","brain"
"iAssembloid","brain"
"iMeLC (induced pluripotent stem cells)","other"
"iPSC derived RPE","eye"
"iPSC derived RPE (Retinal Pigment Epithelium)","eye"
"iPSC derived kidney organoid","kidney"
"iPSC derived neuron","brain"
"iPSC tri-culture (microglia, neurons, astrocytes)","brain"
"iPSC tri-cultures (microglia, neurons, astrocytes)","brain"
"iPSC-CD4sp","immune system"
"iPSC-Derived Cell Lines","other"
"iPSC-Neurons","brain"
"iPSC-airway epithelium through basal cell intermediate","respiratory system"
"iPSC-derived airway epithelium","respiratory system"
"iPSC-derived alveolar epithelial type 2 cells (iAT2s) in 3D","lung"
"iPSC-derived alveolar epithelial type I-like cells (iAT1s)","lung"
"iPSC-derived alveolar epithelial type II-like cells","lung"
"iPSC-derived alveolar type 2 cells (iAT2s)","lung"
"iPSC-derived cardiomyocytes and stromal cells","heart"
"iPSC-derived cells","other"
"iPSC-derived iAT1s grown in LDCI medium in 3D","lung"
"iPSC-derived iAT2s","lung"
"iPSC-derived iAT2s grown in CKDCI medium in 3D","lung"
"iPSC-derived lung mesenchyme","lung"
"iPSC-derived neural cultures","brain"
"iPSC-derived neuronal cell lines","brain"
"iPSC-derived neurons","brain"
"iPSC-derived neuroprogenitor cell lines","brain"
"iPSC-derived organoid","other"
"iPSC-derived progenitor","other"
"iPSC-derived spinal motor neuron","spinal cord"
"iPSC-derived thyroid follicular cells","endocrine gland"
"iPSC-induced microglia","brain"
"iPSC-induced neurons","brain"
"ileal tissue","small intestine"
"ileum-derived intestine organoid","small intestine"
"immune cells (B-cells)","immune system"
"immune response (CVID memory unswitched B-cell)","immune system"
"immune system","immune system"
"immune system (CVID memory switched B-cell)","immune system"
"in vitro (derived from cell lines)","other"
"in vitro (derived from tumor, spleen, and tdLN)","other"
"in vitro (derived from tumors, spleen, and tdLN)","other"
"in vitro cell line","other"
"in vitro iPSC","other"
"in vitro, endogenous CD8+ T cells","immune system"
"incisor + molar tooth","other"
"incisor pulp","other"
"induced GABAergic neurons","brain"
"induced pluripotent stem cell derived kidney organoids","kidney"
"induced pluripotent stem cell-derived kidney organoid","kidney"
"induced pluripotent stem cells (IPSC)","other"
"induced pluripotent stem cells (iPSC), human dermal fibroblasts","other"
"induced pluripotent stem cells (iPSC-derived cardiomyocytes)","heart"
"induced pluripotent stem cells (iPSCs) derived cardiomyocytes","heart"
"induced pluripotent stem cells and human dermal fibroblasts","other"
"infarct zone","other"
"inguinal WAT","adipose tissue"
"inner cell mass (embryo)","embryo"
"inner cell mass (from brain organoids)","embryo"
"inner cell mass, embryo","embryo"
"inner tissue of filamentous conceptus","embryo"
"innervated engineered human myocardium","heart"
"innervated engineered human myocardium (iEHM)","heart"
"intercotyledonary placenta","placenta"
"interneuron progenitors","brain"
"intervertebral disc","skeletal system"
"interzone","skeletal system"
"intestinal crypts","intestine"
"intestinal organoids","intestine"
"intestine (jejunum)","small intestine"
"intestine jejunum","small intestine"
"intrahepatic bile duct","liver"
"intrahepatic bile duct, gall bladder, liver biopsies","digestive system"
"intrahepatic duct","liver"
"invasive ductal breast carcinoma","breast"
"invasive lobular breast carcinoma","breast"
"ipsilateral feet","hindlimb"
"iris","eye"
"isolated single cells from normal human islets","pancreas"
"keloid","skin of body"
"keloid tissue","skin of body"
"kidney & lung","other"
"kidney (glomerulus)","kidney"
"kidney cross-section","kidney"
"knee","skeletal system"
"knee articular chondrocytes","skeletal system"
"knee joint","skeletal system"
"knee joint immune cells","immune system"
"knee joints","skeletal system"
"lacrimal sac","eye"
"lamina propria of colon and mesenteric lymph nodes","other"
"lamina propria of colon, mesenteric lymph nodes","other"
"large intestine, small intestine","intestine"
"lateral habenula","brain"
"lateral habenula neurons","brain"
"lateral hypothalamus","brain"
"left breast","breast"
"left cardiac atrium","heart"
"left eye","eye"
"left eye (cornea sclera wedge)","eye"
"left eye (iris)","eye"
"left eye (lens)","eye"
"left eye (trabecular meshwork)","eye"
"left eye, ciliary body","eye"
"left eye, iris","eye"
"left hippocampus","brain"
"left ventricle region 1B","heart"
"left ventricle region 2A","heart"
"left ventricle region 2B","heart"
"left ventricle region 2B, 17 weeks, male, Wistar strain","heart"
"left ventricle region 2C","heart"
"left ventricle region 3B","heart"
"left ventricular apex","heart"
"lens","eye"
"lens epithelium","eye"
"lesional skin - dermis","skin of body"
"lesioned grey matter of the somatosensory cortex","brain"
"leukemia model","blood"
"leukocytes","blood"
"limb and cranium","skeletal system"
"lineage depleted bone marrow","bone marrow"
"liver cancer","liver"
"liver cells","liver"
"liver micrometastasis","liver"
"liver, specifically NK cells","liver"
"longissimus dorsi muscle","musculature"
"low grade IPMN","pancreas"
"lower grade glioma tumor core","brain"
"lower grade glioma tumor peripheral tissue","brain"
"lower lobe of lung","lung"
"lumbar disc herniation","skeletal system"
"lung (Calu3 cell line)","lung"
"lung (bronchiole)","lung"
"lung (bronchus)","lung"
"lung (distal)","lung"
"lung (left lobe)","lung"
"lung (lower left lobe and parenchyma)","lung"
"lung (trachea, bronchi, parenchyma)","lung"
"lung (tumor tissue and peripheral blood)","lung"
"lung (tumor tissue)","lung"
"lung adenocarcinoma tissue","lung"
"lung and hilar lymph node","respiratory system"
"lung cancer cell","lung"
"lung cancer cell line (H1299)","lung"
"lung draining lymph nodes","lymph node"
"lung epithelial","lung"
"lung epithelial cell line","lung"
"lung epithelial cell line (Calu3)","lung"
"lung epithelial cells (Calu3)","lung"
"lung epithelium","lung"
"lung fibroblasts","lung"
"lung fibroblasts (WI-38)","lung"
"lung metastatic niche","lung"
"lung mononuclear cell","lung"
"lung parenchyma, lower left lobe","lung"
"lung resident immune cells","lung"
"lung resident immune cells (CD45+ CD45IV-negative cells)","lung"
"lung tissue (from bronchoalveolar lavage)","lung"
"lung, bronchoalveolar lavage fluid","lung"
"lung, left lobe","lung"
"lymph","immune system"
"lymphocytes","immune system"
"lymphocytes (isolated from murine eyeball blood)","immune system"
"lymphocytes from murine eyeball blood","immune system"
"mTEC cell culture","immune system"
"macrophage cultures (J774 cell line)","immune system"
"macula lutea (fetal retina tissue)","eye"
"male brain section containing the medial hypothalamus","brain"
"male genitalia","reproductive system"
"mammary carcinoma models","breast"
"mammary gland basal cell","breast"
"mammary gland luminal cell","breast"
"mammary gland/breast","breast"
"mammary glands","breast"
"mammary tumor cells","breast"
"mammary tumor tissue","breast"
"mandibular molar tooth organ","skeletal system"
"mandibular molars","skeletal system"
"maternal blood","blood"
"maxillary molar tooth organ","skeletal system"
"maxillary process","skeletal system"
"medial brain - prefrontal cortex","brain"
"medial prefrontal cortex (mPFC)","brain"
"medial prefrontal cortex and cerebellum","brain"
"mediastinal LN","lymph node"
"medulla (kidney)","kidney"
"meibomian gland","exocrine gland"
"melanoma arising in congenital melanocytic nevi (CMN)","skin of body"
"melanoma model (HCmel12)","skin of body"
"melanoma primary tumor","skin of body"
"melanoma single cell suspension","skin of body"
"memory B-cell","immune system"
"memory b-cell","immune system"
"memory switched B-cell","immune system"
"memory unswitched B-cell","immune system"
"memory unswitched b-cell","immune system"
"menstrual effluent","uterus"
"menstrual effluent tissue","uterus"
"mesenchymal stem cell","bone marrow"
"mesenchymal stem cell from human bone marrow","bone marrow"
"mesendoderm lineage cell types","embryo"
"mesenteric artery - large (> 300 um)","vasculature"
"mesenteric artery - large (>300 um)","vasculature"
"mesenteric artery - small (< 150 um)","vasculature"
"mesenteric artery - small (<150 um)","vasculature"
"mesenteric lymph node and colon","colon"
"mesenteric lymph node and human colon","colon"
"mesenteric lymph node, colon (lamina propria)","colon"
"mesenteric lymph node, colon lamina propria","colon"
"mesenteric lymph node, lamina propria of colon","colon"
"mesenteric white adipose tissue","adipose tissue"
"metastatic regions of sentinel lymph nodes","lymph node"
"microcirculation in newborns","vasculature"
"midbrain reticular nucleus","brain"
"mini gland basal cell","exocrine gland"
"mini gland luminal cell","exocrine gland"
"mobilized peripheral blood (mPB)","blood"
"mouse E13.5","embryo"
"mouse cortex","brain"
"mouse embryonic fibroblasts","embryo"
"mouse embryonic fibroblasts (MEFs)","embryo"
"mouse intestinal organoids","intestine"
"mouse melanoma","skin of body"
"mouse tracheal epithelial cells cultured at air-liquid interface","respiratory system"
"mouse tumor-derived cells","other"
"murine hearts","heart"
"myeloid cells","immune system"
"myometrial arteries","uterus"
"myometrial strips","uterus"
"myometrial strips (utero-placental tissue)","uterus"
"nasal swab","nose"
"nasal tissue","nose"
"nasal tissue and peripheral blood","nose"
"naïve B-cell","immune system"
"naïve b-cell","immune system"
"neural organoids derived from human iPS cells","brain"
"neural progenitor cell","central nervous system"
"neural progenitor cell monolayer","central nervous system"
"neural stem cell","central nervous system"
"neural stem cells (in vitro)","central nervous system"
"neural stem cells derived from iPSCs","central nervous system"
"neuroblastoma cell line","peripheral nervous system"
"neuroblastoma cell line (SKNAS)","peripheral nervous system"
"neuroblastoma cell line (SKNFI)","peripheral nervous system"
"neuroblastoma cell line (SKNSH)","peripheral nervous system"
"neuroblastoma cell lines","peripheral nervous system"
"neuroblastoma patient-derived xenografts","peripheral nervous system"
"neuron derived from SB2-iPSC","central nervous system"
"neurons derived from human iPSCs","central nervous system"
"neurosphere culture","central nervous system"
"neurospheres derived from patient-derived glioma","brain"
"nodose ganglia","peripheral nervous system"
"non-lactating breast tissue","breast"
"non-small cell lung carcinoma tissue, peripheral blood","lung"
"non-tumor DNA sample from a human female participant","other"
"normal","other"
"normal ascending colon","colon"
"normal back skin","skin of body"
"normal bladder mucosa","urinary bladder"
"normal breast","breast"
"normal esophagus","esophagus"
"normal human islets","pancreas"
"normal mammary gland","breast"
"normal mammary gland, breast","breast"
"normal pancreata","pancreas"
"not_collected","other"
"notochordal-like cells","embryo"
"nuclei from specimen CBTM-364B_AX","other"
"nuclei from specimen CBTM-417C_SP","other"
"nuclei from the left atrium","heart"
"nucleus accumbens","brain"
"nucleus accumbens shell","brain"
"ocular outflow tissues","eye"
"oesophagus","esophagus"
"oesophagus cells","esophagus"
"oesophagus epithelium","esophagus"
"oesophagus mucosa","esophagus"
"oesophagus mucosa including epithelium","esophagus"
"oesophagus, spinal cord","other"
"olfactory bulb & late RMS","brain"
"olfactory bulb - piriform cortex","brain"
"olfactory bulb-derived olfactory ensheathing cells","brain"
"olfactory bulbs","brain"
"olfactory region of the brain","brain"
"omental adipose tissue","adipose tissue"
"omental metastasis","omentum"
"omental metastasis from HGSOC post NACT","omentum"
"omental metastasis from HGSOC pre NACT","omentum"
"omental tumor","omentum"
"oocyte","ovary"
"oocyte (MII oocyte)","ovary"
"oocytes","ovary"
"optic nerve head","eye"
"oral squamous cell carcinoma tumor biopsy","digestive system"
"oral tissue","digestive system"
"orbitofrontal cortex (Brodmann area 11)","brain"
"organoids derived from hiPSC","other"
"oropharynx","digestive system"
"osteoblasts","skeletal system"
"osteoblasts (MC3T3-E1 cell line)","skeletal system"
"osteosarcoma","skeletal system"
"osteosarcoma cells","skeletal system"
"outer ear","sensory system"
"ovarian tissue","ovary"
"ovary (oocyte)","ovary"
"ovary stroma","ovary"
"ovary, stroma","ovary"
"pancreas body","pancreas"
"pancreas body/tail","pancreas"
"pancreas head","pancreas"
"pancreas neck","pancreas"
"pancreas tail","pancreas"
"pancreas, small ducts","pancreas"
"pancreatic adenocarcinoma","pancreas"
"pancreatic cells","pancreas"
"pancreatic ductal adenocarcinoma, dissociated orthotopic tumor","pancreas"
"pancreatic neuroendocrine tumor","pancreas"
"papillary thyroid carcinoma","endocrine gland"
"parasympathetic neurons derived from human pluripotent stem cells","peripheral nervous system"
"paraventricular hypothalamic nucleus","brain"
"patient-derived xenograft (PDX) from breast cancer","breast"
"pediatric brain tumors and other solid and hematologic malignancies","brain"
"pelvic pouch","digestive system"
"peri-implant soft tissue","other"
"periaqueductal gray (PAG) neurons","brain"
"periaqueductal gray neurons","brain"
"periodontal ligament","skeletal system"
"peripapillary sclera","eye"
"peripheral blood (sorted activated B cells)","blood"
"peripheral blood / leukocytes","blood"
"peripheral blood monocyte","blood"
"peripheral blood, connective tissue","blood"
"peripheral blood, leukocytes","blood"
"peripheral nervous system tumors","peripheral nervous system"
"peripheral organs","other"
"peripheral organs (heart, lung, liver, spleen, blood, bone marrow)","other"
"peripheral whole blood","blood"
"peritoneal cavity fluid","digestive system"
"peritoneal surfaces, omentum, bowel loops","digestive system"
"peritoneum, ectopic adjacent location","digestive system"
"perivascular adipose","adipose tissue"
"pia mater","central nervous system"
"pig","other"
"pig epididymis corpus","reproductive system"
"pineal gland","endocrine gland"
"pituitary prolactinoma","endocrine gland"
"placental tissue","placenta"
"plantar foot ulcer","skin of body"
"plasmablasts","immune system"
"pluripotent stem cell","other"
"pons-medulla","brain"
"pons-medulla (brainstem)","brain"
"pontine nucleus","brain"
"pooled dorsal striatum","brain"
"poorly metastatic melanoma","skin of body"
"post-anal tail bud","embryo"
"posterior dorsal pallium","brain"
"postmortem cortex","brain"
"postnatal neocortex","brain"
"pre-frontal cortex","brain"
"pre-implantation embryos","embryo"
"prenatal lung","lung"
"preoptic area of hypothalamus","brain"
"preoptic region of the hypothalamus","brain"
"primary PDAC","pancreas"
"primary PDAC (Pancreatic Ductal Adenocarcinoma)","pancreas"
"primary T cells","immune system"
"primary T cells from blood","immune system"
"primary colorectal cancer biopsy","colon"
"primary culture from colon cancer tumor","colon"
"primary hepatocytes","liver"
"primary human T lymphocytes","immune system"
"primary monocytes","immune system"
"primary neural stem cells","central nervous system"
"primary tibia","skeletal system"
"primary visual cortex","brain"
"primary visual cortex V1 neurons","brain"
"prostate basal epithelia","prostate gland"
"prostate epithelia","prostate gland"
"prostate fibromuscular stroma","prostate gland"
"prostate luminal epithelia","prostate gland"
"prostate organoids","prostate gland"
"prostate peripheral zone","prostate gland"
"prostate transition zone","prostate gland"
"proximal lung organoid","lung"
"psoriasis lesional skin","skin of body"
"psoriasis lesional skin (epidermis and dermis)","skin of body"
"psoriasis lesional skin after treatment","skin of body"
"psoriasis lesional skin after treatment (epidermis and dermis)","skin of body"
"pulmonary","lung"
"pulmonary arteries","lung"
"pulmonary tissue","lung"
"pulmonary veins","lung"
"pyloric antrum","stomach"
"quad","musculature"
"quadriceps muscles","musculature"
"rat choroid","eye"
"rectal wall","large intestine"
"regionalized midbrain organoid","brain"
"related to human induced pluripotent stem cells (hiPSCs)","other"
"reprogrammed MEFs","embryo"
"reprogrammed MEFs (Mouse Embryonic Fibroblasts)","embryo"
"reprogrammed cells derived from Cry1 KO MEFs","embryo"
"reprogrammed cells derived from WT MEFs","embryo"
"reprogrammed cells from wild-type MEFs","embryo"
"reprogramming intermediates from mouse embryonic fibroblasts","embryo"
"resected glioblastoma","brain"
"respiratory epithelium","respiratory system"
"rete ovarii","ovary"
"retina, cerebral cortices, striatum, midbrain","brain"
"retina, choroid","eye"
"retinal ganglion cell","eye"
"retinal pigment epithelium/choroid","eye"
"retinal tissue","eye"
"retinoblastoma","eye"
"right breast","breast"
"right cardiac atrium","heart"
"right coronary artery","heart"
"right eye","eye"
"right eye (lens)","eye"
"right eye (macula)","eye"
"right eye, macula","eye"
"right ventricle region 2G","heart"
"right-sided colon","colon"
"rumen","digestive system"
"saliva, blood, buffy coat","other"
"salivary gland epithelium","exocrine gland"
"sarcoma tissues","other"
"sclera","eye"
"scraped urothelium","urinary bladder"
"secondary lymphoid tissues","immune system"
"secondary palate","embryo"
"semitendinosus muscle","musculature"
"septum apex","heart"
"septum base","heart"
"sgFlcn-transduced OT-1 cells from siIEL post-LM-OVA infection","immune system"
"shoulder","skeletal system"
"sigmoid colon, caecum, transverse colon, lymph nodes from intestine mesentery","colon"
"sigmoid colon, lamina propria","colon"
